title,company,location,salary,deadline,link
Unity Game Developer,KIDLOLAND KIDS & TODDLER GAMES PRIVATE LIMITED,Thane Mumbai,₹2.0 - ₹3.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-unity-game-developer-job-in-multiple-locations-at-kidloland-kids-toddler-games-private-limited1789740033
Cloud Computing Associate,Aeonaxy Technologies Private Limited,Work from home,₹9.0 - ₹10.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-cloud-computing-associate-job-at-aeonaxy-technologies-private-limited1788231327
Junior Software Developer,Aeonaxy Technologies Private Limited,Work from home,₹8.0 - ₹11.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-junior-software-developer-job-at-aeonaxy-technologies-private-limited1788229817
Associate iOS App Developer,Infoskaters Technologies Private Limited,Work from home,₹8.6 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-part-time-associate-ios-app-developer-job-at-infoskaters-technologies-private-limited1788373994
Computer Vision Engineer,ClearQuote,Work from home,₹6.36 - ₹12.6 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-computer-vision-engineer-job-at-clearquote1787995081
Junior Web Analytics Developer,DataVinci Private Limited,Work from home,₹6.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-junior-web-analytics-developer-job-at-datavinci-private-limited1789554706
Engine Developer,Architectural Eyes,Work from home,₹5.0 - ₹8.5 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-engine-developer-job-at-architectural-eyes1788415384
QA Analyst (Image Quality & Validation),HelloRamp,Bangalore,₹3.3 - ₹4.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-qa-analyst-image-quality-validation-job-in-bangalore-at-helloramp1788181530
STEM Innovation Engineer/Mentor,Stemmantra Technologies Private Limited,"Delhi, Gurgaon, Patna",₹2.75 - ₹3.85 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-stem-innovation-engineer-mentor-job-in-multiple-locations-at-stemmantra-technologies-private-limited1789122842
JR. PHP Developer,Bitcot Technologies,Indore,₹2.5 - ₹3.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-jr-php-developer-job-in-indore-at-bitcot-technologies1782347428
Software Developer,SR University,Warangal,₹2.4 - ₹8.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-software-developer-job-in-warangal-at-sr-university1788596451
Software Development Engineer,Lyxa Labs,Work from home,₹2.4 - ₹7.2 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-software-development-enginner-job-at-lyxa-labs1787650775
Firmware Developer,Raycura Medical Technologies,Nagpur,₹2.0 - ₹2.4 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-firmware-developer-job-in-nagpur-at-raycura-medical-technologies1788524917
Android App Developer,Docvo.in,Mira Bhayandar,₹2.0 - ₹2.4 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-android-app-developer-job-in-mira-bhayandar-at-docvoin1787749410
Software Developer,Imapro.in,Lucknow,₹2.0 - ₹2.4 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-software-developer-job-in-lucknow-at-imaproin1788416232
Associate Software Developer,PropFocus Technologies,Work from home,₹2.0 - ₹2.2 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-associate-software-developer-job-at-propfocus-technologies1788934386
Computer Vision Trainee,Miracle Eye Pvt Ltd,Work from home,₹2.0 LPA,Not specified by employer,https://internshala.com/job/detail/fresher-remote-computer-vision-trainee-job-at-miracle-eye-pvt-ltd1789524457
Software Developer Trainee,Techvv Opensource,Velachery Chennai,5000 Monthly,Not specified by employer,https://www.freshersworld.com/jobs/category/it-software-job-vacancies
Software Trainee,UniqueHire,Kondapur Hyderabad,5000 - 10000 Monthly,Not specified by employer,https://www.freshersworld.com/jobs/category/it-software-job-vacancies
Software Developer Contractor,Cheerrays Joyful Experiences Private Limited,Yelahanka Bangalore,10000 - 20000 Monthly,Not specified by employer,https://www.freshersworld.com/jobs/category/it-software-job-vacancies
AI Cloud Engineer Intern,SYplat,Avinashi Road Coimbatore,12000 Monthly,Not specified by employer,https://www.freshersworld.com/jobs/category/it-software-job-vacancies
Service Engineer,ZERVTEQ LLP,Ernakulam,15000 - 25000 Monthly,Not specified by employer,https://www.freshersworld.com/jobs/category/it-software-job-vacancies
